time,ax,ay,az,aT
0.207311,-0.0262,-0.0105,0.0005,0.028
1.202457,0.0031,0.0071,-0.0119,0.014
2.208841,0.0039,-0.0066,0.0094,0.012
3.201347,-0.0079,0.0070,-0.0397,0.041
4.194731,-0.0326,0.0393,0.0065,0.051
5.196250,-0.0275,-0.1219,-0.0138,0.126
6.195925,0.0111,0.0210,-0.0089,0.025
7.197679,0.0188,-0.0089,-0.0963,0.099
8.198998,-0.0096,-0.0295,-0.0480,0.057
9.200583,-0.0337,-0.0125,0.0027,0.036
10.204235,-0.0255,0.0088,0.0068,0.028
11.221910,0.0046,-0.0097,0.0028,0.011
12.224086,0.0275,0.0008,-0.0133,0.031
13.204725,0.0141,-0.0525,0.0087,0.055
14.206073,-0.0119,-0.0300,-0.0128,0.035
15.206806,0.0334,0.0025,-0.0250,0.042
16.207233,0.0048,0.0552,-0.0236,0.060
17.208080,-0.0297,-0.0169,-0.0154,0.037
18.229108,0.0419,0.0698,-0.0196,0.084
19.210935,0.0266,-0.0192,-0.0568,0.066
20.211102,-0.0326,0.0029,-0.0233,0.040
21.211510,0.0182,-0.0035,-0.0141,0.023
22.212407,-0.0204,0.0202,-0.0127,0.031
23.213471,-0.0076,0.0087,-0.0314,0.033
24.215190,0.0212,0.0185,-0.0457,0.054
25.216235,-0.0030,-0.0013,-0.0096,0.010
26.217895,0.0079,0.0133,-0.0086,0.018
27.218598,0.0184,0.0038,-0.0263,0.032
28.219584,-0.0339,-0.0388,0.0085,0.052
29.218831,0.0040,-0.0166,-0.0149,0.023
30.235984,-0.0170,-0.0009,0.0013,0.017
31.220665,0.0022,0.0171,-0.0106,0.020
32.220769,-0.0117,-0.0104,-0.0050,0.016
33.221236,0.0023,-0.0056,-0.0178,0.019
34.222054,-0.0449,-0.0308,-0.0098,0.055
35.234997,-0.0034,0.0453,-0.0016,0.045
36.224055,-0.0217,-0.0388,-0.0155,0.047
37.225078,-0.0230,-0.0307,0.0033,0.038
38.225640,-0.0108,-0.0191,-0.0057,0.023
39.226361,-0.0108,-0.0040,-0.0034,0.012
40.231516,-0.0301,-0.0162,-0.0129,0.037
41.231497,-0.0260,-0.0128,-0.0019,0.029
42.246292,-0.0201,0.0162,-0.0231,0.035
43.253630,-0.0213,-0.0044,-0.0143,0.026
44.230551,0.0218,-0.0051,-0.0281,0.036
45.233837,-0.0120,0.0018,-0.0100,0.016
46.234306,-0.0109,-0.0158,-0.0218,0.029
47.235350,-0.0101,-0.0022,-0.0198,0.022
48.236507,-0.0027,-0.0182,-0.0108,0.021
49.237682,0.0097,-0.0284,-0.0099,0.032
50.237892,-0.0173,-0.0160,0.0050,0.024
51.238315,-0.0099,-0.0285,-0.0066,0.031
52.238888,0.0022,-0.0157,-0.0080,0.018
53.239809,0.0127,-0.0046,0.0037,0.014
54.240518,-0.0073,-0.0226,-0.0145,0.028
55.241483,-0.0088,0.0025,-0.0097,0.013
56.245631,0.0069,-0.0093,-0.0205,0.024
57.253147,-0.0170,-0.0183,0.0024,0.025
58.257629,-0.0015,-0.0091,-0.0208,0.023
59.243638,-0.0151,-0.0095,-0.0233,0.029
60.244974,0.0045,-0.0043,-0.0264,0.027
61.245408,-0.0013,-0.0021,-0.0057,0.006
62.246256,-0.0314,0.0026,-0.0311,0.044
63.246713,-0.0145,-0.0094,-0.0082,0.019
64.247343,0.0150,-0.0163,0.0100,0.024
65.247911,-0.0231,-0.0117,-0.0118,0.028
66.248449,0.0012,0.0417,-0.0259,0.049
67.248979,-0.0171,-0.0149,0.0115,0.025
68.249371,0.0033,0.0350,0.0051,0.036
69.253336,0.0192,0.0800,-0.0114,0.083
70.254715,-0.0185,0.0212,-0.0092,0.030
71.254024,-0.0401,-0.0287,0.0413,0.064
