time,ax,ay,az,aT
0.113757,0.1216,0.0280,-0.0438,0.132
1.120710,0.0012,-0.0088,0.0517,0.052
2.128231,0.0044,0.0684,-0.0567,0.089
3.121444,0.0173,0.0729,-0.0284,0.080
4.110591,0.5219,-0.1098,-0.0592,0.537
5.111346,0.0549,0.0577,0.1001,0.128
6.112000,0.0800,0.2680,-0.0680,0.288
7.112719,-0.2414,0.0277,-0.0218,0.244
8.113245,-0.0379,0.0322,-0.0864,0.100
9.115223,-0.0440,-0.0950,0.1105,0.152
10.115107,-0.0131,-0.0320,-0.0018,0.035
11.115634,0.0049,-0.0171,-0.0007,0.018
12.130053,-0.0177,0.0098,-0.0131,0.024
13.118160,0.0092,0.0444,0.0028,0.045
14.117266,0.0192,-0.0389,-0.0007,0.043
15.121822,-0.0074,0.0765,0.0033,0.077
16.142608,0.0100,-0.0852,0.0015,0.086
17.121104,0.0007,-0.0101,-0.0222,0.024
18.121624,0.0004,0.0124,-0.0225,0.026
19.122415,-0.0374,-0.0095,0.0111,0.040
20.123010,-0.0215,-0.0524,-0.0259,0.062
21.124703,-0.0027,0.0236,-0.0056,0.024
22.126318,-0.0199,-0.0198,-0.0234,0.037
23.127411,0.0014,0.0355,-0.0169,0.039
24.129732,-0.0018,0.0209,-0.0105,0.023
25.130583,-0.0288,0.0064,-0.0153,0.033
26.141927,-0.0061,0.0479,-0.0131,0.050
27.133683,-0.0031,0.0322,0.0104,0.034
28.158336,-0.0085,-0.0123,-0.0071,0.017
29.132632,0.0010,-0.0044,-0.0092,0.010
30.133519,0.0102,0.0042,-0.0050,0.012
31.134107,-0.0092,0.0078,0.0014,0.012
32.134859,-0.0145,0.0213,-0.0230,0.035
33.135534,-0.0005,0.0056,-0.0072,0.009
34.136029,-0.0001,0.0121,-0.0021,0.012
35.137433,0.0061,0.0383,-0.0065,0.039
36.138494,0.0084,0.0627,-0.0101,0.064
37.138298,-0.0188,0.0139,-0.0096,0.025
38.143376,-0.0226,0.0381,-0.0211,0.049
39.150265,-0.0133,0.0201,-0.0007,0.024
40.158791,0.0165,0.0309,-0.0307,0.047
41.141596,-0.0052,-0.0201,-0.0035,0.021
42.142464,0.0033,0.0719,-0.0041,0.072
43.142366,0.0122,0.0537,-0.0021,0.055
44.142878,0.0010,-0.0320,-0.0320,0.045
45.143663,-0.0041,0.0116,-0.0117,0.017
46.143729,0.0034,0.0044,-0.0120,0.013
47.144443,-0.0060,-0.0083,-0.0184,0.021
48.146660,-0.0010,0.0048,-0.0058,0.008
49.148319,-0.0057,-0.0186,-0.0128,0.023
50.148544,0.0194,0.0370,-0.0229,0.048
51.150149,-0.0462,0.0027,-0.0185,0.050
52.158927,-0.0234,-0.0038,-0.0116,0.026
53.159172,-0.0796,0.0438,-0.0060,0.091
54.150915,-0.0140,0.0127,0.0145,0.024
55.151590,-0.0024,0.0256,-0.0055,0.026
56.152274,0.0063,0.0141,-0.0217,0.027
