time,ax,ay,az,aT
0.704634,0.1653,0.0381,-0.0572,0.179
1.714869,0.0944,-0.0180,-0.0868,0.130
2.704413,0.0516,0.0636,-0.0587,0.101
3.691451,-0.0356,0.0004,0.1977,0.201
4.692392,0.0695,0.0085,-0.0474,0.085
5.693829,-0.0408,0.0468,-0.2175,0.226
6.693827,-0.1145,-0.0353,-0.0418,0.127
7.694887,0.0965,0.0553,-0.1085,0.155
8.695466,0.0936,0.0329,-0.1165,0.153
9.695814,-0.0702,0.0585,-0.0233,0.094
10.699872,-0.1215,0.0347,0.0513,0.136
11.699634,0.1691,0.0278,-0.0640,0.183
12.702120,-0.0037,0.1315,-0.0526,0.142
13.703688,-0.0946,-0.0023,-0.2041,0.225
14.702776,0.0691,-0.1229,0.1577,0.212
15.703387,-0.5145,-0.0446,0.1915,0.551
16.704006,0.2884,-0.0869,0.1279,0.327
17.705215,-0.0882,0.0098,0.0538,0.104
18.705554,-0.0648,-0.0114,-0.1092,0.128
19.707194,0.0609,0.0288,-0.0109,0.068
20.710225,0.3076,-0.0750,0.2633,0.412
21.710420,-0.0277,-0.1466,0.3266,0.359
22.721327,-0.1464,-0.0288,0.1689,0.225
23.717078,-0.0400,0.0033,-0.4423,0.444
24.737227,-0.0875,-0.0256,-0.0643,0.112
25.737394,-0.0944,0.0321,0.0077,0.100
26.714586,-0.0018,-0.0279,0.0063,0.029
27.715283,0.0027,-0.0150,0.1141,0.115
28.715858,0.0087,0.0117,0.0199,0.025
29.717381,0.0510,0.0655,0.1086,0.137
30.718152,-0.0473,0.0309,-0.0284,0.063
31.719330,-0.0788,-0.0421,0.0975,0.132
32.722229,0.0728,-0.0077,0.0004,0.073
33.723926,-0.1205,0.0001,0.0814,0.145
34.725610,0.0127,0.0081,-0.1772,0.178
35.726438,-0.0452,-0.0245,0.0699,0.087
36.727454,-0.0633,0.0265,-0.0877,0.111
37.727580,-0.0323,0.0501,0.0686,0.091
38.743105,0.0402,-0.0032,0.0082,0.041
39.742265,0.0197,0.0033,-0.0457,0.050
40.728358,-0.0454,0.0198,0.2004,0.206
41.730378,-0.0127,0.0271,-0.0132,0.033
42.754333,-0.0796,-0.0242,0.0538,0.099
43.731106,0.0783,0.0146,0.0604,0.100
44.731618,-0.0643,-0.0243,0.0441,0.082
45.732008,0.0765,0.0060,-0.0368,0.085
46.732973,0.0667,0.0208,-0.0090,0.070
47.732967,-0.0422,0.0376,0.1095,0.123
48.733388,-0.0880,-0.0029,-0.1021,0.135
49.735896,0.3994,0.0625,0.0343,0.406
50.737258,0.1405,0.1000,-0.5559,0.582
51.737717,0.0732,-0.0957,0.0333,0.125
52.751624,0.0938,-0.0021,-0.0289,0.098
53.752596,-0.2086,0.0350,-0.1209,0.244
